Donor,Location Name,FID of the park,Zone,Location latitude,Location longitude,Unique ID of the Percolation well,Percolation well latitude,Percolation well longitude,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-227,13.08865,77.56073,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-228,13.08864,77.56083,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-229,13.08863,77.56091,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-23,12.99392,77.60912,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-230,13.08859,77.56098,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-231,13.08859,77.56106,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-232,13.08856,77.56114,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-233,13.08854,77.56121,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-234,13.08851,77.56131,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-242,13.0885,77.56142,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-235,13.08849,77.56146,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-236,13.08847,77.56153,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-237,13.08845,77.5616,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-238,13.08843,77.56166,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-239,13.08842,77.56175,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-240,13.08936,77.56046,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-241,13.0894,77.56047,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-29,12.99397,77.6086,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-31,12.99488,77.60832,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-32,12.99515,77.60847,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-33,12.99538,77.60855,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-34,12.99482,77.60939,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-35,12.99448,77.60995,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-6,12.99359,77.60949,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-9,12.99393,77.60964,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-243,12.98251,77.64424,,,,,,,,
Broadcom,Royal County Park-2,,Bommanahalli Zone,,,B-11,12.8687,77.57718,,,,,,,,
Broadcom,Alwarna Bhavan,,Bommanahalli Zone,,,B-110,12.86257,77.5937,,,,,,,,
Broadcom,Royal County Park-2,,Bommanahalli Zone,,,B-12,12.8687,77.57734,,,,,,,,
Broadcom,Namma Clinic Park Anjanapura,,Bommanahalli Zone,,,B-120,12.87332,77.56317,,,,,,,,
Broadcom,Namma Clinic Park Anjanapura,,Bommanahalli Zone,,,B-121,12.87336,77.56323,,,,,,,,
Broadcom,Namma Clinic Park Anjanapura,,Bommanahalli Zone,,,B-122,12.87319,77.56333,,,,,,,,
Broadcom,Namma Clinic Park Anjanapura,,Bommanahalli Zone,,,B-123,12.87327,77.56342,,,,,,,,
Broadcom,Namma Clinic Park Anjanapura,,Bommanahalli Zone,,,B-124,12.87326,77.56351,,,,,,,,
Broadcom,Namma Clinic Park Anjanapura,,Bommanahalli Zone,,,B-125,12.87324,77.5636,,,,,,,,
Broadcom,Namma Clinic Park Anjanapura,,Bommanahalli Zone,,,B-126,12.87318,77.5637,,,,,,,,
Broadcom,Namma Clinic Park Anjanapura,,Bommanahalli Zone,,,B-127,12.87312,77.56385,,,,,,,,
Broadcom,Namma Clinic Park Anjanapura,,Bommanahalli Zone,,,B-128,12.87312,77.56398,,,,,,,,
Broadcom,Namma Clinic Park Anjanapura,,Bommanahalli Zone,,,B-129,12.87305,77.56412,,,,,,,,
Broadcom,Royal County Park-2,,Bommanahalli Zone,,,B-13,12.86871,77.57741,,,,,,,,
Broadcom,Namma Clinic Park Anjanapura,,Bommanahalli Zone,,,B-130,12.87305,77.56422,,,,,,,,
