SL No	Donor Name	Location Name	Latitude 	Longitude	Google location	No of Percolation well Constructed	Year of Completion	Zone	Ward Number	Location by Parks/Campuses
545	Mphasis	NPKL Park Kodigehalli	12.9827588	77.4616448	https://maps.app.goo.gl/EvbbjLcyZhPrXW9i6	4	Mar-26	Outside GBA		BDA Parks
546	Limnotech	BDA NPKL 1st Block Parks	12.9607349	77.4626402	https://maps.app.goo.gl/ppPrfMt5SBTwNunG9	100	Mar-26	Outside GBA		BDA Parks
547	Limnotech	Seegehalli SWM Plant	12.9744176	77.4399333	https://maps.app.goo.gl/PQAoNHf6vwRANk3v9	10	Mar-26	Outside GBA		Others
548	Limnotech	Kannahalli SWM Plant	12.9692562	77.4467441	https://maps.app.goo.gl/hrL9ANwFxEF8rTzg9	30	Mar-26	Outside GBA		Others
549	Limnotech	BDA NPKL 7th Block Parks	12.9293651	77.445534	https://maps.app.goo.gl/NQmAP9NLTeUChC229	30	Mar-26	Outside GBA		BDA Parks
550	Limnotech	BDA Kommaghatta Phase 1 Apartments	12.914773	77.4620707	https://maps.app.goo.gl/RJ9fC2QXhD9kAuij9	16	Mar-26	Outside GBA		BDA Parks
551	Limnotech	BDA Kommaghatta Phase 2 Apartments	12.9150835	77.4605968	https://maps.app.goo.gl/v6sKjwPEhcZK2zex9	11	Mar-26	Outside GBA		BDA Parks
552	Limnotech	BDA Kommaghatta Phase 3 Apartments	12.9143318	77.461954	https://maps.app.goo.gl/JFu1wKT9YcfYEGQS7	14	Mar-26	Outside GBA		BDA Parks
553	Limnotech	Shri. D V Gundappa Park	12.9967934	77.4862284	https://maps.app.goo.gl/MrjkVGW9j8FvhMrQ7	10	Mar-26	West Zone		BBMP Parks
554	Limnotech	Bharata Ratna Sir M Vishweswaraiah Park	12.9948868	77.4872671	https://maps.app.goo.gl/R41CtC9uSPEBD5gJ9	2	Mar-26	West Zone		BBMP Parks
555	Limnotech	ESIC Hospital Backside Park Peenya	13.0264545	77.5300875	https://maps.app.goo.gl/x4AYSupSu29R1M8N9	9	Mar-26	West Zone		BBMP Parks
556	Limnotech	Yashwanthpura Suburb Industrial Area Park	13.0283231	77.5303377	https://maps.app.goo.gl/bZwMAzz9SzvjTQQq8	8	Mar-26	West Zone		BBMP Parks
557	Limnotech	STP 5 NPKL Area	12.9071913	77.4547744	https://maps.app.goo.gl/JR45JKY3CLyxdcd26	7	Mar-26	Outside GBA		BDA Parks
558	Limnotech	Challaghatta Block 5 Sector Next to STP Area NPKL Layout	12.9028276	77.4559226	https://maps.app.goo.gl/HJzH38pEo1MpCjzeA	46	Mar-26	Outside GBA		BDA Parks
